date,value
2023-04-05,0.0
2023-04-12,0.0
2023-04-19,0.0
2023-04-26,0.0
2023-05-03,0.0
2023-05-10,0.0
2023-05-17,0.0
2023-05-24,0.0
2023-05-31,0.0
2023-06-07,0.0
2023-06-14,0.0
2023-06-21,0.0
2023-06-28,0.0
2023-07-05,0.0
2023-07-12,0.0
2023-07-19,0.0
2023-07-26,0.0
2023-08-02,0.0
2023-08-09,0.0
2023-08-16,0.0
2023-08-23,0.0
2023-08-30,0.0
2023-09-06,0.0
2023-09-13,0.0
2023-09-20,0.0
2023-09-27,0.0
2023-10-04,0.0
2023-10-11,0.0
2023-10-18,0.0
2023-10-25,0.0
2023-11-01,0.0
2023-11-08,0.0
2023-11-15,0.0
2023-11-22,0.0
2023-11-29,0.0
2023-12-06,0.0
2023-12-13,0.0
2023-12-20,0.0
2023-12-27,0.0
2024-01-03,0.0
2024-01-10,0.0
2024-01-17,0.0
2024-01-24,0.0
2024-01-31,0.0
2024-02-07,0.0
2024-02-14,0.0
2024-02-21,0.0
2024-02-28,0.0
2024-03-06,0.0
2024-03-13,0.0
2024-03-20,0.0
2024-03-27,0.0
2024-04-03,0.0
2024-04-10,0.0
2024-04-17,0.0
2024-04-24,0.0
2024-05-01,0.0
2024-05-08,0.0
2024-05-15,0.0
2024-05-22,0.0
2024-05-29,0.0
2024-06-05,0.0
2024-06-12,0.0
2024-06-19,0.0
2024-06-26,0.0
2024-07-03,0.0
2024-07-10,0.0
2024-07-17,0.0
2024-07-24,0.0
2024-07-31,0.0
2024-08-07,0.0
2024-08-14,0.0
2024-08-21,0.0
2024-08-28,0.0
2024-09-04,0.0
2024-09-11,0.0
2024-09-18,0.0
2024-09-25,0.0
2024-10-02,0.0
2024-10-09,0.0
2024-10-16,0.0
2024-10-23,0.0
2024-10-30,0.0
2024-11-06,0.0
2024-11-13,0.0
2024-11-20,0.0
2024-11-27,0.0
2024-12-04,0.0
2024-12-11,0.0
2024-12-18,0.0
2024-12-25,0.0
2025-01-01,0.0
2025-01-08,0.0
2025-01-15,0.0
2025-01-22,0.0
2025-01-29,0.0
2025-02-05,0.0
2025-02-12,0.0
2025-02-19,0.0
2025-02-26,0.0
2025-03-05,0.0
2025-03-12,0.0
2025-03-19,0.0
2025-03-26,0.0
2025-04-02,0.0
2025-04-09,0.0
2025-04-16,0.0
2025-04-23,0.0
2025-04-30,0.0
2025-05-07,0.0
2025-05-14,0.0
2025-05-21,0.0
2025-05-28,0.0
2025-06-04,0.0
2025-06-11,0.0
2025-06-18,0.0
2025-06-25,0.0
2025-07-02,0.0
2025-07-09,0.0
2025-07-16,0.0
2025-07-23,0.0
2025-07-30,0.0
2025-08-06,0.0
2025-08-13,0.0
2025-08-20,0.0
2025-08-27,0.0
2025-09-03,0.0
2025-09-10,0.0
2025-09-17,0.0
2025-09-24,0.0
2025-10-01,0.0
2025-10-08,0.0
2025-10-15,0.0
2025-10-22,0.0
2025-10-29,0.0
2025-11-05,0.0
2025-11-12,0.0
2025-11-19,0.0
2025-11-26,0.0
2025-12-03,0.0
2025-12-10,0.0
2025-12-17,1.069
2025-12-24,1.07
2025-12-31,2.079
2026-01-07,2.08
2026-01-14,3.209
2026-01-21,3.21
2026-01-28,4.399
2026-02-04,4.401
2026-02-11,5.086
2026-02-18,5.088
2026-02-25,5.3180000000000005
2026-03-04,5.32
2026-03-11,5.53
2026-03-18,5.532
2026-03-25,5.138
2026-04-01,5.14
2026-04-08,4.821
2026-04-15,4.824
2026-04-22,4.4430000000000005
2026-04-29,4.444
2026-05-06,4.047
2026-05-13,4.049
2026-05-20,3.955
2026-05-27,3.9570000000000003
2026-06-03,3.864
2026-06-10,3.865
2026-06-17,3.973
2026-06-24,3.974
2026-07-01,3.976
2026-07-08,3.605
2026-07-15,3.706
2026-07-22,3.708
2026-07-29,3.426
2026-08-05,3.428
2026-08-12,3.5300000000000002
2026-08-19,3.532
2026-08-26,3.536
